     velsurf   thk_positive       thk_regu           glen
9009287.0000         0.0000   9999999.0000        -0.0560
9009320.0000         0.0000   9999999.0000        -0.0560
9009244.0000         0.0000   9999999.0000        -0.0560
9009341.0000         0.0000   9999999.0000        -0.0560
9009273.0000         0.0000   9999999.0000        -0.0560
9009338.0000         0.0000   9999999.0000        -0.0560
9009276.0000         0.0000   9999999.0000        -0.0560
9009337.0000         0.0000   9999999.0000        -0.0560
9009276.0000         0.0000   9999999.0000        -0.0560
9009338.0000         0.0000   9999999.0000        -0.0575
8998954.0000         0.0000   9999999.0000        -0.0575
8998993.0000         0.0000   9999999.0000        -0.0575
8998925.0000         0.0000   9999999.0000        -0.0575
8998977.0000         0.0000   9999999.0000        -0.0575
8998929.0000         0.0000   9999999.0000        -0.0575
8998978.0000         0.0000   9999999.0000        -0.0575
8998941.0000         0.0000   9999999.0000        -0.0575
8999032.0000         0.0000   9999999.0000        -0.0575
8999022.0000         0.0000   9999999.0000        -0.0575
8999072.0000         0.0000   9999999.0000        -0.0593
8988003.0000         0.0000   9999999.0000        -0.0593
8987962.0000         0.0000   9999999.0000        -0.0593
8987930.0000         0.0000   9999999.0000        -0.0593
8987988.0000         0.0000   9999999.0000        -0.0593
8988013.0000         0.0000   9999999.0000        -0.0593
8988096.0000         0.0000   9999999.0000        -0.0593
8988047.0000         0.0000   9999999.0000        -0.0593
8988125.0000         0.0000   9999999.0000        -0.0593
8988050.0000         0.0000   9999999.0000        -0.0593
8988130.0000         0.0000   9999999.0000        -0.0611
8976372.0000         0.0000   9999999.0000        -0.0611
8976374.0000         0.0000   9999999.0000        -0.0611
8976373.0000         0.0000   9999999.0000        -0.0611
8976296.0000         0.0000   9999999.0000        -0.0611
8976389.0000         0.0000   9999999.0000        -0.0611
8976320.0000         0.0000   9999999.0000        -0.0611
8976389.0000         0.0000   9999999.0000        -0.0611
8976320.0000         0.0000   9999999.0000        -0.0611
8976389.0000         0.0000   9999999.0000        -0.0611
8976320.0000         0.0000   9999999.0000        -0.0631
8964007.0000         0.0000   9999999.0000        -0.0631
8963866.0000         0.0000   9999999.0000        -0.0631
8963663.0000         0.0000   9999999.0000        -0.0631
8963701.0000         0.0000   9999999.0000        -0.0631
8963663.0000         0.0000   9999999.0000        -0.0631
8963701.0000         0.0000   9999999.0000        -0.0631
8963663.0000         0.0000   9999999.0000        -0.0631
8963701.0000         0.0000   9999999.0000        -0.0631
8963663.0000         0.0000   9999999.0000        -0.0631
8963702.0000         0.0000   9999999.0000        -0.0654
8950077.0000         0.0000   9999999.0000        -0.0654
8949849.0000         0.0000   9999999.0000        -0.0654
8949794.0000         0.0000   9999999.0000        -0.0654
8949849.0000         0.0000   9999999.0000        -0.0654
8949794.0000         0.0000   9999999.0000        -0.0654
8949849.0000         0.0000   9999999.0000        -0.0654
8949794.0000         0.0000   9999999.0000        -0.0654
8949849.0000         0.0000   9999999.0000        -0.0654
8949794.0000         0.0000   9999999.0000        -0.0654
8949849.0000         0.0000   9999999.0000        -0.0675
8934538.0000         0.0000   9999999.0000        -0.0675
8934317.0000         0.0000   9999999.0000        -0.0675
8933482.0000         0.0000   9999999.0000        -0.0675
8932829.0000         0.0000   9999999.0000        -0.0675
8932200.0000         0.0000   9999999.0000        -0.0675
8932230.0000         0.0000   9999999.0000        -0.0675
